user_id,restaurant_id,rating
314,409,5.0
869,424,4.0
368,32,4.0
429,472,4.0
830,28,5.0
807,206,4.0
480,493,5.0
314,387,4.0
500,228,4.0
721,128,5.0
355,255,4.0
485,475,4.0
211,212,4.0
704,239,4.0
44,207,4.0
541,318,4.0
571,283,4.0
583,245,4.0
92,45,4.0
265,105,4.0
895,348,4.0
220,281,5.0
902,234,4.0
925,189,4.0
442,44,4.0
401,494,4.0
400,225,4.0
727,430,5.0
991,142,4.0
899,136,4.0
789,176,4.0
576,142,4.0
858,449,4.0
804,80,4.0
490,82,4.0
485,135,5.0
757,207,4.0
470,344,4.0
574,177,4.0
938,383,4.0
844,243,4.0
682,55,4.0
445,141,4.0
269,457,4.0
267,440,4.0
54,56,5.0
528,15,4.0
520,185,4.0
616,314,4.0
59,419,4.0
825,88,4.0
40,97,4.0
237,144,4.0
955,8,4.0
386,477,4.0
606,215,4.0
734,173,4.0
716,223,4.0
650,40,4.0
300,497,4.0
395,182,4.0
207,270,4.0
336,187,4.0
593,245,5.0
730,478,4.0
514,309,4.0
178,231,4.0
396,383,5.0
371,155,4.0
858,175,4.0
791,336,4.0
658,115,4.0
318,390,4.0
736,311,4.0
369,481,5.0
384,300,4.0
62,18,4.0
806,272,4.0
505,12,4.0
239,404,4.0
195,301,5.0
678,192,4.0
963,232,4.0
222,443,4.0
61,93,4.0
129,478,4.0
990,218,4.0
685,278,5.0
992,353,5.0
156,487,4.0
917,303,4.0
378,29,4.0
622,470,4.0
781,301,4.0
923,77,4.0
868,9,4.0
903,24,4.0
790,15,4.0
586,164,5.0
999,13,4.0
437,347,4.0
975,172,4.0
207,357,4.0
388,327,4.0
480,200,4.0
791,485,4.0
887,489,4.0
838,462,4.0
984,378,4.0
340,76,4.0
869,164,4.0
340,372,4.0
204,61,5.0
161,488,4.0
540,465,4.0
392,424,4.0
769,245,4.0
677,477,5.0
575,382,4.0
534,155,4.0
70,257,5.0
893,244,5.0
405,162,4.0
608,68,4.0
675,344,4.0
591,277,4.0
517,161,4.0
828,391,4.0
120,449,4.0
814,489,5.0
690,259,4.0
688,492,4.0
902,307,4.0
217,335,5.0
56,95,5.0
366,438,4.0
699,464,5.0
504,458,4.0
744,246,4.0
767,221,4.0
925,123,4.0
455,187,5.0
104,262,4.0
77,413,4.0
230,273,5.0
914,373,4.0
258,60,4.0
264,406,4.0
331,408,4.0
993,125,4.0
182,337,4.0
893,341,4.0
768,51,4.0
550,178,5.0
688,139,5.0
27,440,4.0
276,327,4.0
652,170,4.0
299,39,4.0
957,69,4.0
799,236,4.0
91,48,5.0
480,381,4.0
573,57,4.0
458,277,5.0
451,338,4.0
365,99,4.0
859,404,4.0
675,15,4.0
351,325,5.0
655,461,4.0
400,179,4.0
253,332,4.0
781,62,5.0
881,119,4.0
803,469,4.0
459,37,4.0
699,134,4.0
917,455,4.0
499,26,5.0
950,490,4.0
971,496,4.0
926,8,4.0
508,457,4.0
304,475,4.0
501,4,5.0
803,21,5.0
598,415,4.0
166,149,4.0
415,488,5.0
462,25,4.0
920,487,5.0
114,143,4.0
433,245,4.0
992,419,4.0
356,433,4.0
928,43,4.0
695,425,4.0
207,293,4.0
768,185,4.0
235,42,5.0
442,431,4.0
355,92,4.0
515,317,4.0
208,398,4.0
709,324,4.0
853,53,4.0
125,84,4.0
138,34,4.0
339,76,5.0
537,353,4.0
68,408,4.0
573,404,4.0
541,197,4.0
383,486,4.0
19,286,4.0
683,88,5.0
450,235,4.0
74,232,4.0
573,7,4.0
939,292,5.0
665,38,4.0
276,464,4.0
48,52,5.0
211,143,5.0
855,430,5.0
920,407,5.0
651,396,4.0
622,221,4.0
994,428,4.0
695,240,5.0
540,143,4.0
709,349,4.0
191,493,4.0
315,363,4.0
901,382,4.0
563,49,4.0
661,277,4.0
780,271,5.0
562,14,4.0
900,298,5.0
758,492,4.0
113,464,4.0
170,15,4.0
468,234,4.0
678,63,5.0
921,196,5.0
14,27,5.0
715,471,4.0
288,93,4.0
907,105,4.0
189,309,5.0
914,52,5.0
155,319,4.0
567,457,4.0
694,181,4.0
722,57,5.0
888,120,4.0
471,308,4.0
75,363,4.0
277,43,4.0
940,135,4.0
645,373,5.0
343,426,4.0
425,260,4.0
571,197,4.0
511,133,4.0
857,459,4.0
182,255,4.0
458,489,4.0
918,220,4.0
851,336,4.0
833,41,4.0
64,478,4.0
839,388,4.0
260,255,4.0
193,2,4.0
655,494,4.0
616,195,4.0
972,242,4.0
406,149,4.0
726,198,4.0
754,299,4.0
943,245,4.0
721,338,4.0
93,108,4.0
430,453,4.0
654,393,4.0
434,212,4.0
404,156,5.0
434,26,4.0
112,82,5.0
929,83,4.0
375,131,4.0
59,329,4.0
43,100,4.0
207,256,4.0
780,479,4.0
296,49,4.0
118,401,4.0
532,63,4.0
222,311,4.0
166,407,4.0
643,290,4.0
156,105,4.0
184,105,4.0
90,325,4.0
94,15,5.0
13,175,4.0
973,259,5.0
834,211,4.0
805,412,4.0
945,259,4.0
742,102,4.0
834,260,4.0
804,344,5.0
438,159,5.0
538,45,4.0
587,443,5.0
968,301,4.0
876,251,4.0
936,331,4.0
811,165,5.0
150,193,4.0
660,9,4.0
8,401,5.0
29,374,4.0
296,65,4.0
986,387,4.0
926,495,4.0
721,282,4.0
640,181,4.0
340,415,4.0
628,282,4.0
439,279,4.0
144,30,4.0
942,266,4.0
830,328,4.0
747,492,4.0
519,217,4.0
976,320,4.0
45,406,4.0
955,399,5.0
239,379,5.0
952,105,4.0
944,184,4.0
155,330,4.0
181,148,4.0
215,105,4.0
88,47,4.0
256,87,4.0
511,309,4.0
73,437,4.0
931,129,5.0
179,258,4.0
212,314,5.0
805,147,4.0
234,446,4.0
465,462,4.0
751,72,4.0
223,486,5.0
631,140,4.0
825,410,5.0
264,27,4.0
207,29,4.0
607,271,5.0
885,174,4.0
734,253,5.0
366,385,5.0
276,60,5.0
380,107,4.0
743,220,4.0
309,441,4.0
631,259,4.0
268,371,4.0
945,146,4.0
785,52,4.0
64,60,4.0
810,34,4.0
350,96,4.0
925,477,5.0
915,89,4.0
494,316,4.0
523,410,5.0
98,231,4.0
946,456,4.0
71,275,4.0
364,246,4.0
570,111,4.0
802,234,5.0
763,278,4.0
276,477,5.0
50,417,4.0
358,166,4.0
728,128,4.0
906,237,4.0
928,494,4.0
564,291,4.0
783,107,4.0
485,128,4.0
84,195,4.0
899,339,5.0
805,394,4.0
638,475,5.0
808,143,4.0
584,395,5.0
296,111,4.0
236,90,5.0
56,251,4.0
919,280,4.0
360,333,4.0
907,224,4.0
110,101,4.0
192,132,4.0
904,13,4.0
93,457,4.0
862,441,5.0
568,497,5.0
60,98,4.0
650,120,4.0
39,293,5.0
540,304,4.0
49,199,4.0
420,1,4.0
637,60,5.0
13,250,5.0
992,140,5.0
